Time,secs	AreaA,cm2	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
432.610000	216.285429	9.337354	-595.823653	-595.823653	6.261381	45.475000	0.000000		161.047217	NaN
433.110000	216.225342	9.334759	-595.823653	-595.823653	6.289607	45.475000	0.000000		161.056097	NaN
433.610000	215.984992	9.324383	-595.823653	-595.823653	6.313128	45.475000	0.000000		161.047217	NaN
434.110000	215.984992	9.324383	-595.823653	-595.823653	6.313128	45.475000	0.000000		161.056097	NaN
434.610000	215.924904	9.321789	-595.823653	-595.823653	6.313128	45.475000	0.000000		161.056097	NaN
435.110000	215.924904	9.321789	-595.823653	-595.823653	6.327241	45.475000	0.000000		161.056097	NaN
435.610000	215.924904	9.321789	-595.823653	-595.823653	6.341354	45.475000	0.000000		161.047217	NaN
436.110000	215.924904	9.321789	-595.823653	-595.823653	6.317832	45.475000	0.000000		161.056097	NaN
436.610000	215.924904	9.321789	-595.823653	-595.823653	6.327241	45.475000	0.000000		161.056097	NaN
437.110000	215.924904	9.321789	-595.823653	-595.823653	6.327241	45.475000	0.000000		161.056097	NaN
437.610000	215.684554	9.311413	-595.823653	-595.823653	6.341354	45.475000	0.000000		161.056097	NaN
438.110000	215.624467	9.308819	-595.823653	-595.823653	6.346058	45.475000	0.000000		161.064977	NaN
438.610000	215.624467	9.308819	-595.823653	-595.823653	6.378988	45.475000	0.000000		161.064977	NaN
439.110000	215.624467	9.308819	-595.823653	-595.823653	6.388396	45.475000	0.000000		161.064977	NaN
439.610000	215.624467	9.308819	-595.823653	-595.823653	6.388396	45.475000	0.000000		161.064977	NaN
440.110000	215.624467	9.308819	-595.823653	-595.823653	6.383692	45.475000	0.000000		161.056097	NaN
440.610000	215.564379	9.306225	-595.823653	-595.823653	6.4072130000000005	45.475000	0.000000		161.064977	NaN
441.110000	215.324029	9.295849	-595.823653	-595.823653	6.411918	45.475000	0.000000		161.064977	NaN
441.610000	215.324029	9.295849	-595.823653	-595.823653	6.388396	45.475000	0.000000		161.064977	NaN
442.110000	215.263942	9.293254	-595.823653	-595.823653	6.430735	45.475000	0.000000		161.073857	NaN
442.610000	215.263942	9.293254	-595.823653	-595.823653	6.435439000000001	45.475000	0.000000		161.064977	NaN
443.110000	215.263942	9.293254	-595.823653	-595.823653	6.416622	45.475000	0.000000		161.073857	NaN
443.610000	215.263942	9.293254	-595.823653	-595.823653	6.430735	45.475000	0.000000		161.064977	NaN
444.110000	215.324029	9.295849	-595.823653	-595.823653	6.458959999999999	45.475000	0.000000		161.073857	NaN
444.610000	214.963504	9.280284	-595.823653	-595.823653	6.444848	45.475000	0.000000		161.073857	NaN
445.110000	214.963504	9.280284	-595.823653	-595.823653	6.463665000000001	45.475000	0.000000		161.073857	NaN
445.610000	214.963504	9.280284	-595.823653	-595.823653	6.473072999999999	45.475000	0.000000		161.073857	NaN
446.110000	214.963504	9.280284	-595.823653	-595.823653	6.477777	45.475000	0.000000		161.064977	NaN
446.610000	214.903417	9.277690	-595.823653	-595.823653	6.477777	45.475000	0.000000		161.073857	NaN
447.110000	214.963504	9.280284	-595.823653	-595.823653	6.482482	45.475000	0.000000		161.073857	NaN
447.610000	215.023592	9.282878	-595.823653	-595.823653	6.5154119999999995	45.475000	0.000000		161.082738	NaN
448.110000	214.602979	9.264720	-595.823653	-595.823653	6.5012989999999995	45.475000	0.000000		161.082738	NaN
448.610000	214.602979	9.264720	-595.823653	-595.823653	6.510707	45.475000	0.000000		161.082738	NaN
449.110000	214.602979	9.264720	-595.823653	-595.823653	6.510707	45.475000	0.000000		161.073857	NaN
449.610000	214.602979	9.264720	-595.823653	-595.823653	6.534229	45.475000	0.000000		161.082738	NaN
450.110000	214.602979	9.264720	-595.823653	-595.823653	6.548342	45.475000	0.000000		161.082738	NaN
450.610000	214.663067	9.267314	-595.823653	-595.823653	6.543637	45.475000	0.000000		161.082738	NaN
451.110000	214.542892	9.262126	-595.823653	-595.823653	6.5718630000000005	45.475000	0.000000		161.091618	NaN
451.610000	214.302542	9.251749	-595.823653	-595.823653	6.581271	45.475000	0.000000		161.082738	NaN
452.110000	214.242454	9.249155	-595.823653	-595.823653	6.567159	45.475000	0.000000		161.091618	NaN
452.610000	214.362629	9.254343	-595.823653	-595.823653	6.581271	45.475000	0.000000		161.091618	NaN
453.110000	214.242454	9.249155	-595.823653	-595.823653	6.5718630000000005	45.475000	0.000000		161.091618	NaN
453.610000	214.302542	9.251749	-595.823653	-595.823653	6.604793	45.475000	0.000000		161.082738	NaN
454.110000	214.302542	9.251749	-595.823653	-595.823653	6.628314	45.475000	0.000000		161.091618	NaN
454.610000	214.242454	9.249155	-595.823653	-595.823653	6.637722999999999	45.475000	0.000000		161.100498	NaN
455.110000	213.942017	9.236185	-595.823653	-595.823653	6.6142009999999996	45.475000	0.000000		161.091618	NaN
455.610000	213.942017	9.236185	-595.823653	-595.823653	6.651835	45.475000	0.000000		161.100498	NaN
456.110000	214.002104	9.238779	-595.823653	-595.823653	6.647131	45.475000	0.000000		161.091618	NaN
456.610000	213.942017	9.236185	-595.823653	-595.823653	6.65654	45.475000	0.000000		161.091618	NaN
457.110000	213.942017	9.236185	-595.823653	-595.823653	6.6706520000000005	45.475000	0.000000		161.100498	NaN
457.610000	214.002104	9.238779	-595.823653	-595.823653	6.675357	45.475000	0.000000		161.109378	NaN
458.110000	213.942017	9.236185	-595.823653	-595.823653	6.680061	45.475000	0.000000		161.100498	NaN
458.610000	213.641579	9.223215	-595.823653	-595.823653	6.665948	45.475000	0.000000		161.100498	NaN
459.110000	213.581492	9.220621	-595.823653	-595.823653	6.703582	45.475000	0.000000		161.109378	NaN
459.610000	213.641579	9.223215	-595.823653	-595.823653	6.722399	45.475000	0.000000		161.100498	NaN
460.110000	213.641579	9.223215	-595.823653	-595.823653	6.694174	45.475000	0.000000		161.091618	NaN
460.610000	213.641579	9.223215	-595.823653	-595.823653	6.703582	45.475000	0.000000		161.109378	NaN
461.110000	213.641579	9.223215	-595.823653	-595.823653	6.731808	45.475000	0.000000		161.109378	NaN
461.610000	213.641579	9.223215	-595.823653	-595.823653	6.727104000000001	45.475000	0.000000		161.100498	NaN
462.110000	213.401229	9.212838	-595.823653	-595.823653	6.745921	45.475000	0.000000		161.091618	NaN
